カテゴリコードlv1,カテゴリコードlv2,カテゴリコードlv3,カテゴリ名lv1,カテゴリ名lv2,カテゴリ名lv3,カテゴリ名lv3_long
2498,998,41149,食品,肉、ハム、ソーセージ,パテ、レバーペースト,食品 > 肉、ハム、ソーセージ > パテ、レバーペースト
2498,998,41150,食品,肉、ハム、ソーセージ,フォアグラ,食品 > 肉、ハム、ソーセージ > フォアグラ
2498,998,15544,食品,肉、ハム、ソーセージ,肉惣菜、肉料理,食品 > 肉、ハム、ソーセージ > 肉惣菜、肉料理
2498,998,1031,食品,肉、ハム、ソーセージ,その他肉、ハム、ソーセージ,食品 > 肉、ハム、ソーセージ > その他肉、ハム、ソーセージ
2498,1034,1041,食品,フルーツ,フルーツ詰め合わせ,食品 > フルーツ > 詰め合わせ
2498,1034,18583,食品,フルーツ,桃,食品 > フルーツ > 桃
2498,1034,15894,食品,フルーツ,さくらんぼ,食品 > フルーツ > さくらんぼ
2498,1034,15974,食品,フルーツ,マンゴー,食品 > フルーツ > マンゴー
2498,1034,18573,食品,フルーツ,メロン,食品 > フルーツ > メロン
2498,1034,15957,食品,フルーツ,ぶどう,食品  > フルーツ > ブドウ
2498,1034,15976,食品,フルーツ,りんご,食品 > フルーツ > リンゴ
2498,1034,18545,食品,フルーツ,いちご,食品 > フルーツ > いちご
2498,1034,15994,食品,フルーツ,梨,食品 > フルーツ > 梨
2498,1034,41127,食品,フルーツ,洋梨,食品 > フルーツ > 洋梨
2498,1034,1037,食品,フルーツ,みかん、柑橘類,食品 > フルーツ > みかん、柑橘類
2498,1034,1036,食品,フルーツ,柿,食品 > フルーツ > 柿
2498,1034,1044,食品,フルーツ,バナナ,食品 > フルーツ > バナナ
2498,1034,15146,食品,フルーツ,ブルーベリー,食品 > フルーツ > ブルーベリー
2498,1034,1038,食品,フルーツ,キウイ,食品 > フルーツ > キウイ
2498,1034,4946,食品,フルーツ,パイナップル,食品 > フルーツ > パイナップル
2498,1034,15937,食品,フルーツ,すいか,食品 > フルーツ > スイカ
2498,1034,15074,食品,フルーツ,びわ,食品 > フルーツ > びわ
2498,1034,41130,食品,フルーツ,あんず、ネクタリン,食品 > フルーツ > あんず、ねくたりん
2498,1034,41131,食品,フルーツ,プラム,食品 > フルーツ > プラム
2498,1034,18588,食品,フルーツ,トロピカルフルーツ,食品 > フルーツ > トロピカルフルーツ
2498,1034,15941,食品,フルーツ,ドライフルーツ,食品 > フルーツ > ドライフルーツ
2498,1034,13512,食品,フルーツ,冷凍フルーツ,食品 > フルーツ > 冷凍フルーツ
2498,1034,1049,食品,フルーツ,その他フルーツ,食品 > フルーツ > その他フルーツ
